distances_classical,distances_Hx,distances_Hz,distances_quantum,logical_error_rates,max_row_weight_H,max_row_weight_HT,k_classical,k_classical_T,k_quantum
10,12,12,12,0.00209,5,3,9,0,81
10,10,10,10,0.00239,5,3,9,0,81
10,10,11,10,0.00178,5,3,9,0,81
8,8,8,8,0.00342,5,3,9,0,81
9,12,12,12,0.00211,5,3,9,0,81
10,12,12,12,0.002,5,3,9,0,81
10,12,12,12,0.00194,5,3,9,0,81
10,12,12,12,0.00216,5,3,9,0,81
8,10,10,10,0.00361,5,3,9,0,81
8,12,10,10,0.00287,5,3,9,0,81
10,12,12,12,0.00162,5,3,9,0,81
8,8,8,8,0.00296,5,3,9,0,81
10,12,12,12,0.00211,5,3,9,0,81
10,12,12,12,0.00166,5,3,9,0,81
10,12,12,12,0.00158,5,3,9,0,81
10,12,12,12,0.00211,5,3,9,0,81
10,10,10,10,0.00196,5,3,9,0,81
10,12,12,12,0.00206,5,3,9,0,81
10,10,10,10,0.00189,5,3,9,0,81
10,10,10,10,0.0036,5,3,9,0,81
10,12,12,12,0.0021,5,3,9,0,81
10,10,10,10,0.00223,5,3,9,0,81
9,11,11,11,0.00195,5,3,9,0,81
8,10,8,8,0.00252,5,3,9,0,81
8,8,8,8,0.00379,5,3,9,0,81
10,12,12,12,0.00176,5,3,9,0,81
10,12,12,12,0.00164,5,3,9,0,81
10,12,12,12,0.00155,5,3,9,0,81
8,10,10,10,0.0032,5,3,9,0,81
10,10,10,10,0.00236,5,3,9,0,81
10,12,12,12,0.00153,5,3,9,0,81
10,12,12,12,0.0014,5,3,9,0,81
10,12,10,10,0.00185,5,3,9,0,81
9,10,10,10,0.00223,5,3,9,0,81
8,8,8,8,0.00299,5,3,9,0,81
10,14,14,14,0.00202,5,3,9,0,81
8,8,8,8,0.00525,5,3,9,0,81
7,10,10,10,0.00321,5,3,9,0,81
10,10,10,10,0.0016,5,3,9,0,81
10,12,12,12,0.00207,5,3,9,0,81
10,12,12,12,0.00195,5,3,9,0,81
6,12,12,12,0.01163,5,3,9,0,81
